Sensor Mics_VZ power on
Sensor Grove power on
Pre-heat time before sending data
0:00
Ready for sending data
CO, NO2, CO2, VOC, TIME
2.99,0.59,400.00,0.00, 0.00
2.12,0.47,400.00,0.00, 0.17
1.49,0.42,400.00,0.00, 0.33
1.13,0.41,400.00,0.00, 0.50
0.87,0.40,400.00,0.00, 0.67
0.70,0.39,400.00,0.00, 0.83
0.57,0.40,400.00,0.00, 1.00
0.49,0.40,400.00,0.00, 1.17
0.42,0.40,400.00,0.00, 1.33
0.37,0.41,400.00,0.00, 1.50
0.33,0.42,400.00,0.00, 1.67
0.30,0.42,400.00,0.00, 1.83
0.27,0.43,400.00,0.00, 2.00
0.25,0.43,400.00,0.00, 2.17
0.23,0.44,400.00,0.00, 2.33
0.22,0.45,400.00,0.00, 2.50
0.21,0.45,400.00,0.00, 2.67
0.19,0.46,400.00,0.00, 2.83
0.18,0.47,400.00,0.00, 3.00
0.17,0.47,400.00,0.00, 3.17
0.17,0.47,400.00,0.00, 3.33
0.16,0.48,400.00,0.00, 3.50
0.15,0.49,400.00,0.00, 3.67
0.15,0.49,400.00,0.00, 3.83
0.15,0.50,400.00,0.00, 4.00
0.14,0.51,400.00,0.00, 4.17
0.14,0.51,400.00,0.00, 4.33
0.13,0.52,400.00,0.00, 4.50
0.13,0.52,400.00,0.00, 4.67
0.13,0.52,400.00,0.00, 4.83
0.13,0.53,400.00,0.00, 5.00
0.13,0.53,400.00,0.00, 5.17
0.12,0.54,400.00,0.00, 5.33
0.12,0.54,400.00,0.00, 5.50
0.12,0.55,400.00,0.00, 5.67
0.11,0.55,400.00,0.00, 5.83
0.11,0.56,400.00,0.00, 6.00
0.11,0.56,400.00,0.00, 6.17
0.11,0.56,400.00,0.00, 6.33
0.11,0.56,400.00,0.00, 6.50
0.11,0.56,400.00,0.00, 6.67
0.11,0.57,400.00,0.00, 6.83
0.11,0.57,400.00,0.00, 7.00
0.11,0.58,400.00,0.00, 7.17
0.11,0.58,400.00,0.00, 7.33
0.11,0.58,400.00,0.00, 7.50
0.11,0.58,400.00,0.00, 7.67
0.10,0.59,400.00,0.00, 7.83
0.10,0.59,400.00,0.00, 8.00
0.10,0.59,400.00,0.00, 8.17
0.10,0.59,400.00,0.00, 8.33
0.10,0.60,400.00,0.00, 8.50
0.10,0.60,400.00,0.00, 8.67
0.10,0.60,400.00,0.00, 8.83
0.10,0.61,400.00,0.00, 9.00
0.10,0.61,400.00,0.00, 9.17
0.10,0.61,400.00,0.00, 9.33
0.10,0.62,400.00,0.00, 9.50
0.10,0.62,400.00,0.00, 9.67
0.10,0.62,400.00,0.00, 9.83
0.10,0.62,400.00,0.00, 10.00
0.10,0.63,400.00,0.00, 10.17
0.09,0.63,400.00,0.00, 10.33
0.09,0.64,400.00,0.00, 10.50
0.09,0.64,400.00,0.00, 10.67
0.09,0.64,400.00,0.00, 10.83
0.09,0.64,400.00,0.00, 11.00
0.09,0.65,400.00,0.00, 11.17
0.09,0.65,400.00,0.00, 11.33
0.09,0.65,400.00,0.00, 11.50
0.09,0.65,400.00,0.00, 11.67
